,algorithm,latent_info,initial_S_key,n_samples,kl_divergence,num_edges,num_nodes,edges
82,bma,informed,none,3200,0.5296683435315636,4,5,"[('AD', 'Hypometabilism'), ('AD', 'ABProtein'), ('APOEAllele', 'AD'), ('APOEAllele', 'CognitiveImpair')]"
83,bma,informed,none,3600,0.5011750051626194,5,5,"[('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('AD', 'CognitiveImpair'), ('APOEAllele', 'ABProtein'), ('CognitiveImpair', 'ABProtein')]"
84,bma,informed,none,4000,0.5154461751255988,5,5,"[('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism'), ('CognitiveImpair', 'Hypometabilism'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD')]"
85,bma,informed,none,4400,0.5061125173761012,4,5,"[('CognitiveImpair', 'Hypometabilism'), ('CognitiveImpair', 'ABProtein'), ('APOEAllele', 'AD'), ('APOEAllele', 'CognitiveImpair')]"
86,bma,informed,none,4800,0.5186931360633372,4,5,"[('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD'), ('CognitiveImpair', 'Hypometabilism')]"
87,bma,informed,none,5200,0.5437315039786439,4,5,"[('CognitiveImpair', 'APOEAllele'), ('CognitiveImpair', 'AD'), ('APOEAllele', 'Hypometabilism'), ('AD', 'ABProtein')]"
88,bma,informed,none,5600,0.49800181273297395,4,5,"[('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD')]"
89,bma,informed,none,6000,0.49703709457531264,4,5,"[('APOEAllele', 'ABProtein'), ('APOEAllele', 'AD'), ('ABProtein', 'Hypometabilism'), ('AD', 'CognitiveImpair')]"
90,bma,informed,informed,400,0.07566849921419229,3,4,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('APOEAllele', 'AD')]"
91,bma,informed,informed,800,0.44425343592652994,4,5,"[('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism'), ('Hypometabilism', 'APOEAllele'), ('ABProtein', 'AD')]"
92,bma,informed,informed,1200,0.4459756218640027,4,5,"[('AD', 'CognitiveImpair'), ('AD', 'APOEAllele'), ('AD', 'Hypometabilism'), ('APOEAllele', 'ABProtein')]"
93,bma,informed,informed,1600,0.4686148575170335,4,5,"[('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('AD', 'CognitiveImpair'), ('ABProtein', 'AD')]"
94,bma,informed,informed,2000,7.189168974745633,5,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('CognitiveImpair', 'Hypometabilism'), ('APOEAllele', 'AD')]"
95,bma,informed,informed,2400,0.4795352240113341,4,5,"[('CognitiveImpair', 'ABProtein'), ('CognitiveImpair', 'APOEAllele'), ('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism')]"
96,bma,informed,informed,2800,0.44295034969207464,4,5,"[('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('APOEAllele', 'ABProtein')]"
97,bma,informed,informed,3200,0.4839371463289787,4,5,"[('APOEAllele', 'AD'), ('AD', 'Hypometabilism'), ('AD', 'ABProtein'), ('AD', 'CognitiveImpair')]"
98,bma,informed,informed,3600,0.5072281358484277,5,5,"[('CognitiveImpair', 'Hypometabilism'), ('Hypometabilism', 'APOEAllele'), ('ABProtein', 'AD'), ('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism')]"
99,bma,informed,informed,4000,0.5039304148970022,4,5,"[('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism'), ('CognitiveImpair', 'APOEAllele'), ('ABProtein', 'AD')]"
100,bma,informed,informed,4400,0.5299931701247955,3,4,"[('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism'), ('APOEAllele', 'AD')]"
101,bma,informed,informed,4800,0.5041036480080187,5,5,"[('ABProtein', 'Hypometabilism'), ('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('CognitiveImpair', 'ABProtein'), ('APOEAllele', 'AD')]"
102,bma,informed,informed,5200,0.47913126853423943,4,5,"[('AD', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('APOEAllele', 'AD')]"
103,bma,informed,informed,5600,0.5234619552097924,3,4,"[('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism'), ('APOEAllele', 'AD')]"
104,bma,informed,informed,6000,0.507571217565599,4,5,"[('ABProtein', 'AD'), ('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism'), ('CognitiveImpair', 'APOEAllele')]"
105,bma,informed,tree,400,0.14846631932195792,4,5,"[('AD', 'APOEAllele'), ('AD', 'ABProtein'), ('AD', 'Hypometabilism'), ('CognitiveImpair', 'AD')]"
106,bma,informed,tree,800,0.6232491334364311,4,5,"[('Hypometabilism', 'CognitiveImpair'), ('AD', 'ABProtein'), ('ABProtein', 'Hypometabilism'), ('APOEAllele', 'AD')]"
107,bma,informed,tree,1200,0.4485162324927383,5,5,"[('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('AD', 'ABProtein'), ('Hypometabilism', 'CognitiveImpair'), ('CognitiveImpair', 'ABProtein')]"
108,bma,informed,tree,1600,0.44943264431401286,4,5,"[('Hypometabilism', 'AD'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'APOEAllele')]"
109,bma,informed,tree,2000,0.4829724338116813,4,5,"[('AD', 'ABProtein'), ('AD', 'CognitiveImpair'), ('AD', 'APOEAllele'), ('AD', 'Hypometabilism')]"
110,bma,informed,tree,2400,0.4866382744702452,5,5,"[('Hypometabilism', 'ABProtein'), ('CognitiveImpair', 'ABProtein'), ('CognitiveImpair', 'Hypometabilism'), ('AD', 'APOEAllele'), ('AD', 'CognitiveImpair')]"
111,bma,informed,tree,2800,0.4899458104160308,4,5,"[('Hypometabilism', 'AD'), ('Hypometabilism', 'ABProtein'), ('AD', 'APOEAllele'), ('ABProtein', 'CognitiveImpair')]"
112,bma,informed,tree,3200,0.5158289229093616,4,5,"[('AD', 'ABProtein'), ('AD', 'Hypometabilism'), ('AD', 'APOEAllele'), ('AD', 'CognitiveImpair')]"
113,bma,informed,tree,3600,0.5343065735375389,4,5,"[('APOEAllele', 'Hypometabilism'), ('AD', 'CognitiveImpair'), ('AD', 'ABProtein'), ('AD', 'APOEAllele')]"
114,bma,informed,tree,4000,0.48053447085357653,5,5,"[('AD', 'CognitiveImpair'), ('AD', 'ABProtein'), ('AD', 'APOEAllele'), ('CognitiveImpair', 'Hypometabilism'), ('ABProtein', 'Hypometabilism')]"
115,bma,informed,tree,4400,0.4594832730382826,4,5,"[('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('ABProtein', 'AD'), ('AD', 'APOEAllele')]"
116,bma,informed,tree,4800,0.5497190567223831,4,5,"[('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'AD'), ('Hypometabilism', 'APOEAllele'), ('APOEAllele', 'CognitiveImpair')]"
117,bma,informed,tree,5200,0.533976623122856,4,5,"[('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'APOEAllele'), ('CognitiveImpair', 'AD')]"
118,bma,informed,tree,5600,0.5058310906120305,4,5,"[('CognitiveImpair', 'ABProtein'), ('AD', 'APOEAllele'), ('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism')]"
119,bma,informed,tree,6000,0.5086966017597114,5,5,"[('APOEAllele', 'CognitiveImpair'), ('Hypometabilism', 'AD'), ('Hypometabilism', 'CognitiveImpair'), ('AD', 'ABProtein'), ('AD', 'APOEAllele')]"
120,bma,informed,tan,400,0.13418017601013527,9,5,"[('AD', 'CognitiveImpair'), ('AD', 'ABProtein'), ('APOEAllele', 'ABProtein'), ('APOEAllele', 'CognitiveImpair'), ('APOEAllele', 'AD'), ('APOEAllele', 'Hypometabilism'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'AD'), ('Hypometabilism', 'ABProtein')]"
121,bma,informed,tan,800,0.47623094084624806,7,5,"[('Hypometabilism', 'APOEAllele'), ('CognitiveImpair', 'Hypometabilism'), ('AD', 'ABProtein'), ('AD', 'APOEAllele'), ('AD', 'CognitiveImpair'), ('AD', 'Hypometabilism'), ('ABProtein', 'Hypometabilism')]"
122,bma,informed,tan,1200,0.4832309734248824,9,5,"[('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'AD'), ('CognitiveImpair', 'ABProtein'), ('APOEAllele', 'ABProtein'), ('APOEAllele', 'CognitiveImpair'), ('AD', 'CognitiveImpair'), ('AD', 'APOEAllele')]"
123,bma,informed,tan,1600,0.4584996916482275,8,5,"[('CognitiveImpair', 'APOEAllele'), ('Hypometabilism', 'APOEAllele'), ('Hypometabilism', 'CognitiveImpair'), ('Hypometabilism', 'ABProtein'), ('Hypometabilism', 'AD'), ('ABProtein', 'AD'), ('ABProtein', 'CognitiveImpair'), ('AD', 'CognitiveImpair')]"
